Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
8/8/2023,186800,424550,62570,253390,239250000,67600000,96360000,22190000,82660,23490000,35150000,8080,3760000,51530000,15180000,142340
7/8/2023,228910,293040,41190,243920,228690000,97580000,111100000,17740000,62320,22750000,32220000,11300,4780000,71210000,16180000,104410
4/8/2023,104010,320870,31430,199600,284840000,115960000,99540000,23740000,58390,26150000,36270000,7670,5440000,153130000,17610000,156420
3/8/2023,139150,402640,36080,182560,237760000,52600000,96950000,17960000,63140,18990000,32140000,6780,6200000,78430000,15220000,141350
2/8/2023,147610,414830,67410,272700,305950000,48900000,100980000,27430000,73950,25940000,52610000,6920,4880000,50090000,20220000,169660
1/8/2023,135520,307860,64010,386290,211400000,34730000,82500000,18150000,52950,23050000,23360000,7090,5700000,41360000,22660000,167760
31-07-2023,97880,297270,31840,177970,254540000,38590000,84270000,25340000,45400,27990000,24980000,9040,6560000,41520000,24220000,139960
28-07-2023,136510,299550,31420,148920,295900000,48290000,111450000,28480000,38730,36590000,33120000,6850,6430000,46320000,39220000,159600
27-07-2023,2420,374360,30420,176210,291790000,47460000,103700000,39640000,100,44950000,45600000,6630,6590000,52610000,63720000,16910
26-07-2023,37310,322030,44330,286610,263280000,47470000,95860000,58380000,70,61680000,36420000,6460,6010000,53910000,40540000,11940
25-07-2023,35550,349600,29050,161060,234860000,37280000,112760000,41640000,60,52510000,34810000,7020,4860000,39240000,18810000,8630
24-07-2023,54170,368290,55730,297130,220800000,44860000,137010000,25660000,70,29480000,36650000,9460,8120000,41740000,24950000,6440
21-07-2023,103190,308110,32590,176390,799030000,71950000,161800000,69410000,63770,71610000,96380000,7630,17340000,133310000,41890000,156540
20-07-2023,147710,23710,50330,321920,334200000,59580000,175160000,33780000,84070,37910000,53790000,6750,23990000,59820000,23840000,189930
19-07-2023,81160,92920,34960,244920,268740000,80510000,142360000,39730000,73330,37220000,42070000,7120,21000000,54530000,21350000,159410
18-07-2023,101520,125090,42400,233000,258650000,48200000,111590000,64520000,44280,26040000,56570000,6430,13000000,54320000,20550000,264090
17-07-2023,90910,244790,42840,293540,237030000,49840000,130180000,20030000,47490,25470000,50490000,8480,6860000,47800000,25090000,165830
14-07-2023,115680,299580,82420,530860,256390000,41620000,120060000,28350000,62060,33280000,77210000,7060,7200000,54490000,23050000,209310
13-07-2023,120190,379730,99810,588530,242480000,41340000,112680000,20570000,76910,44300000,47820000,6890,5760000,61170000,30280000,241220
12/7/2023,99290,352890,54060,280910,287610000,59770000,95670000,29350000,76730,30200000,48130000,6620,5700000,53340000,36680000,270870
11/7/2023,130580,326880,39840,191470,234910000,46420000,91970000,26380000,79060,22980000,29820000,6320,4550000,49250000,27590000,189370
10/7/2023,124500,301010,55240,264830,271070000,59100000,119430000,32730000,73330,35240000,35390000,8970,4240000,61450000,37060000,208090
7/7/2023,103590,362630,46420,249820,240000000,46820000,113880000,21210000,44280,21710000,35590000,6560,4170000,41990000,25470000,214270
6/7/2023,109300,395380,90810,483000,242500000,45000000,120710000,28020000,47490,24670000,30260000,6190,4930000,39690000,47440000,231510
5/7/2023,124910,456810,43230,284340,223470000,46590000,131530000,18070000,62060,27500000,32200000,7730,6860000,34740000,33540000,245930
3/7/2023,79620,303480,56490,346330,150550000,31460000,119690000,12510000,76910,14470000,19820000,8210,3730000,28260000,8630000,152960
30-06-2023,147270,299870,118650,765420,317600000,85210000,112620000,26830000,23313,29530000,50110000,6940,7350000,54350000,19690000,180690
29-06-2023,118610,292870,49570,256220,226210000,45450000,131280000,16860000,6990,24040000,37370000,5860,4920000,40480000,15400000,205250
